Installation_Cd,Installation,Strategy_id,Strategy,Impact_Potential,Technology_id,Technology,REAF_Scale,PMR Gaps Scale,Avg_Cost_Low,Avg_Cost_High,Gaps_Closed,Count_of_gaps_closed,Row_ID
AGGN,Altus Air Force Base,52.0,Installation-wide SCADA System (Energy),39.560439560439555,12.0,Microgrid,Installation,Installation,218750.0,537500.0,24; 28; 29; 48,4,1
AGGN,Altus Air Force Base,127.0,Installation Microgrid,112.37869396280195,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,36,1,2
AJXF,JB Andrews,48.0,Isolated Communications Strands / Zones,45.20288772715957,12.0,Microgrid,Installation,Installation,150000.0,350000.0,2944; 2944,2,3
AJXF,JB Andrews,49.0,Priority Load-Shedding Protocol,26.644736842105264,12.0,Microgrid,Installation,Installation,75000.0,200000.0,2923; 2923; 2937; 2937,4,4
AJXF,JB Andrews,79.0,Access to Alternate/Renewable Generation during an Outage,42.047781966004685,12.0,Microgrid,Installation,Installation,350000.0,900000.0,2823; 2823,2,5
AJXF,JB Andrews,127.0,Installation Microgrid,299.1277987189123,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,2821; 2821,2,6
ASHE,Aviano AB,52.0,Installation-wide SCADA System (Energy),84.85461608211527,12.0,Microgrid,Installation,Installation,208333.33333333334,516666.6666666667,329; 130; 330,3,7
ASHE,Aviano AB,79.0,Access to Alternate/Renewable Generation during an Outage,43.55357973591057,12.0,Microgrid,Installation,Installation,350000.0,900000.0,133,1,8
AWUB,Barksdale,127.0,Installation Microgrid,245.14481449126842,12.0,Microgrid,Installation,Installation,550000.0,1600000.0,331; 338,2,9
BAEY,Beale,52.0,Installation-wide SCADA System (Energy),105.46846155659195,12.0,Microgrid,Installation,Installation,200000.0,500000.0,394,1,10
DKFX,JB Charleston - AB,52.0,Installation-wide SCADA System (Energy),55.6561982964234,12.0,Microgrid,Installation,Installation,200000.0,500000.0,3114,1,11
DKFX,JB Charleston - AB,127.0,Installation Microgrid,72.47223785862988,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,3070; 3071,2,12
FGWB,Dobbins ARB,127.0,Installation Microgrid,107.8237685653475,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,1002,1,13
FJXT,Dover,52.0,Installation-wide SCADA System (Energy),179.8272357723577,12.0,Microgrid,Installation,Installation,225000.0,550000.0,1081; 1111,2,14
FSPM,Edwards,52.0,Installation-wide SCADA System (Energy),133.3265713795233,12.0,Microgrid,Installation,Installation,231250.0,562500.0,1353; 1368; 1375; 1321,4,15
FTEV,Hurlburt Field,52.0,Installation-wide SCADA System (Energy),144.35672851783664,12.0,Microgrid,Installation,Installation,191666.66666666666,466666.6666666667,2464; 2508; 2456; 2485; 2476; 2537,6,16
FTEV,Hurlburt Field,79.0,Access to Alternate/Renewable Generation during an Outage,92.45351600589585,12.0,Microgrid,Installation,Installation,350000.0,900000.0,2520,1,17
FTFA,Eglin,49.0,Priority Load-Shedding Protocol,76.91716032110253,12.0,Microgrid,Installation,Installation,75000.0,200000.0,1420; 1455,2,18
FTFA,Eglin,52.0,Installation-wide SCADA System (Energy),176.55016314053657,12.0,Microgrid,Installation,Installation,250000.0,600000.0,1472,1,19
FTFA,Eglin,79.0,Access to Alternate/Renewable Generation during an Outage,135.2516639371727,12.0,Microgrid,Installation,Installation,350000.0,900000.0,1454,1,20
FTQW,Eielson,127.0,Installation Microgrid,369.4924543755185,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,1557; 1557,2,21
FXSB,JBER AK,49.0,Priority Load-Shedding Protocol,127.2492577369976,12.0,Microgrid,Installation,Installation,91666.66666666667,233333.33333333334,3180; 3180; 3179; 3179; 3225; 3225,6,22
FXSB,JBER AK,127.0,Installation Microgrid,137.0798223272659,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,3183; 3183,2,23
GHLN,FE Warren,52.0,Installation-wide SCADA System (Energy),144.50521487932494,12.0,Microgrid,Installation,Installation,175000.0,418750.0,1764; 1749; 1750; 1803,4,24
GHLN,FE Warren,127.0,Installation Microgrid,211.27749426578274,12.0,Microgrid,Installation,Installation,550000.0,1600000.0,1802; 1822; 1781; 1823,4,25
GJKZ,Fairchild,49.0,Priority Load-Shedding Protocol,2.941176470588235,12.0,Microgrid,Installation,Installation,75000.0,200000.0,1687; 1687,2,26
GJKZ,Fairchild,52.0,Installation-wide SCADA System (Energy),16.666666666666668,12.0,Microgrid,Installation,Installation,225000.0,550000.0,1690; 1690,2,27
GLEN,Schriever,49.0,Priority Load-Shedding Protocol,97.15473550839405,12.0,Microgrid,Installation,Installation,75000.0,200000.0,6823,1,28
GLEN,Schriever,79.0,Access to Alternate/Renewable Generation during an Outage,85.68957100990028,12.0,Microgrid,Installation,Installation,350000.0,900000.0,6866; 6880,2,29
JBAB,JBAB,52.0,Installation-wide SCADA System (Energy),190.6610347104493,12.0,Microgrid,Installation,Installation,225000.0,550000.0,2746,1,30
JBAB,JBAB,127.0,Installation Microgrid,420.42750327922386,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,2753,1,31
KRSM,Hill,49.0,Priority Load-Shedding Protocol,66.66666666666667,12.0,Microgrid,Installation,Installation,75000.0,200000.0,2212; 2214; 2283,3,32
KRSM,Hill,52.0,Installation-wide SCADA System (Energy),300.6452073233441,12.0,Microgrid,Installation,Installation,200000.0,500000.0,2299,1,33
LXEZ,Kadena AB,52.0,Installation-wide SCADA System (Energy),302.03298735752844,12.0,Microgrid,Installation,Installation,200000.0,500000.0,3585,1,34
LXEZ,Kadena AB,127.0,Installation Microgrid,174.11802649300597,12.0,Microgrid,Installation,Installation,500000.0,1500000.0,3586; 3590,2,35
